Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD I
4-Aminobutanal	DZQLQEYLEYWJIB-UHFFFAOYSA-N	17769	HMDB01080	C00555	118	
4-(2-aminophenyl)-2,4-dioxobutanoate	CAOVWYZQMPNAFJ-UHFFFAOYSA-N	17442	HMDB00978	C01252	472	
4-fumarylacetoacetate(2-)	GACSIVHAIFQKTC-UHFFFAOYSA-N	30907	HMDB01268	C01061	5280398	LMFA01170066
4-hydroxy-2-oxoglutarate(2-)	WXSKVKPSMAHCSG-UHFFFAOYSA-N	30923	HMDB02070	C01127	599	
4-hydroxybenzoate	FJKROLUGYXJWQN-UHFFFAOYSA-N	30763	HMDB00500	C00156		
4-hydroxybenoyl-CoA	LTVXPVBFJBTNIJ-MJEJKHSFSA-N		HMDB06467	C02949		
4 hydroxy debrisoquine	AKFURXZANOMQBD-UHFFFAOYSA-N	63800	HMDB06468			
4,7,10,13-hexadecatetraenoylcoa						
4,7,10-hexadecatrienoylcoa						
L-4-hydroxyglutamic semialdehyde	XCXUZPXOFFRGGP-DMTCNVIQSA-N	27809	HMDB06556	C05938		
(4-hydroxyphenyl)acetaldehyde	IPRPPFIAVHPVJH-UHFFFAOYSA-N	15621	HMDB03767	C03765	440113	
4-hydroxyphenylacetate	XQXPVVBIMDBYFF-UHFFFAOYSA-N	18101	HMDB00020	C00642	127	
trans-4-hydroxy-L-proline	PMMYEEVYMWASQN-DMTCNVIQSA-N	18095	HMDB00725	C01157	5810	
4-Imidazolone-5-propanoate	HEXMLHKQVUFYME-UHFFFAOYSA-N	27384	HMDB01014	C03680	128	
4-maleylacetoacetate	GACSIVHAIFQKTC-UHFFFAOYSA-N	47904	HMDB02052	C01036	5280393	LMFA01170114
4-methyl-2-oxopentanoate	BKAJNAXTPSGJCU-UHFFFAOYSA-N	48430	HMDB00695	C00233	70	
4-methylpentanal	JGEGJYXHCFUMJF-UHFFFAOYSA-N	17998	HMDB01318	C02373		
4 hydroxy tolbutamide	SJRHYONYKZIRPM-UHFFFAOYSA-N	63799	HMDB06408			
4-Methylzymosterol intermediate 1	MYWAIWDQTCHPTH-IUGQOUSLSA-N		HMDB06927	C15808		
4-Methylzymosterol intermediate 2	DBPZYKHQDWKORQ-JQDPPCHWSA-N	505093	HMDB06838	C15816		
4-nitrophenolate	BTJIUGUIPKRLHP-UHFFFAOYSA-N	16836	HMDB01232	C00870		
4-Nitrophenyl sulfate	JBGHTSSFSSUKLR-UHFFFAOYSA-N	35422	HMDB06492			
D-4'-Phosphopantothenate	XHFVGHPGDLDEQO-ZETCQYMHSA-N	15905	HMDB01016	C03492	41635	
N-((R)-4-Phosphopantothenoyl)-L-cysteine	XQYALQVLCNHCFT-CBAPKCEASA-N	15769	HMDB01117	C04352	440304	
4-pyridoxate	HXACOUQIXZGNBF-UHFFFAOYSA-N	17405	HMDB00017	C00847		
